The main character can be briefly characterized as an elderly curmudgeonly man. | G³ównego bohatera mo¿na krótko scharakteryzowaæ jako starszego zrzêdliwego pana.
His clay-cold corpse was found at the river bank. | Jego zimne jak lód zw³oki znaleziono na brzegu rzeki.

We were treated generously and convivally. | Potraktowano nas hojnie i serdecznie.

The staff treated the problem supinely and not seriously enough. actually, they shrugged the question off. | Za³oga potraktowa³a problem biernie i nie do¶æ powa¿nie. W rzeczy samej zignorowali tê kwestiê.

I don't understand why his novels are labelled as groundbreaking. | Nie rozumiem, dlaczego jego powie¶ci uznano za prze³omowe.

He was defrocked in 1919 and started a wonderful career. | W 1919 zosta³ pozbawiony habitu i zacz±³ wspania³± karierê.

The children were sorry for the tethered horse. | Dzieci wspó³czu³y uwi±zanemu koniowi.

She's had enough of his flummery. | Ona ma do¶æ jego czczych pochwa³.

As a matter of fact, they are commemorating the anniversary of a common despoiler's death. | W gruncie rzeczy obchodz± rocznicê ¶mierci zwyk³ego grabie¿cy.

The pruinose fruit in the painting looked as real. | Omszone owoce na obrazie wygl±da³y jak ¿ywe.

It proved that the assumed skinflint was able to offer her all his riches. | Okaza³o siê, ¿e ten rzekomy sk±piec potrafi³ ofiarowaæ jej wszystkie swoje bogactwa.

Since she's not going to approve of one of those cookie-cutter toys, I must look for a special toy for her baby. | Poniewa¿ ona nie zaakceptuje ¿adnej z produkowanych masowo zabawek, muszê poszukaæ dla jej dziecka czego¶ szczególnego.

The crapulent giant devoured all the children. | Nieumiarkowany olbrzym po¿ar³ wszystkie dzieci.

I felt I was being flimflammed, but I didn't say a word. | Czu³em, ¿e mnie naci±gaj±, ale nie powiedzia³em s³owa.

His litigiousness was legendary. | O jego sk³onno¶ci do pieniactwa kr±¿y³y legendy.

Her dignified mien made most of the visitors feel rather shy. | Jej dystyngowany wygl±d sprawia³, ¿e wiêkszo¶æ go¶ci czu³a siê nieco onie¶mielona.

They dragged up a barnacled hulk. | Wy³owili kad³ub statku obro¶niêty skorupiakami.

He's been fighting with bowdlerisation for ages. | Od wielu lat walczy z cenzura obyczajow±.

This laggard won't help us. | Ten guzdra³a nam nie pomo¿e.

This serious issue was treated too laxly. | Zbyt niedbale potraktowano tê powa¿n± sprawê.

Sally's been a bit droppy lately.  | Sally jest ostatnio trochê przygnêbiona.

It hasn't been decided yet whether the actions were taken of malice prepense. | Jeszcze nie uznano, czy dzia³ania by³y podjête w z³ym zamiarze.

They're a poor Rolling Stones sound-alike! | S± marnymi na¶ladowcami Rolling Stones'ów.

It was one of his famous agonistic speeches. | To by³o jedno z jego s³ynnych polemicznych przemówieñ.

On the whole, it was difficult to understand the message of her fumbling speech. | Generalnie trudno by³o zrozumieæ przes³anie jej nieudolnego przemówienia.

She's such a malkin. | Jest strasznie niechlujna.

The same old snuggery waits for us every winter. | To samo przytulne miejsce czeka na nas ka¿dej zimy.

Do you want to suggest that he was receiving douceurs? | Chcesz powiedzieæ, ¿e otrzymywa³ ³apówki?

Her novels are said to be ordure. | O jej powie¶ciach mówi siê, ¿e s± ohydne.

After a series of unfortunate events, the title character desponds and withdraws from social life. | Po serii nieszczê¶liwych wydarzeñ tytu³owy bohater popada w przygnêbienie i wycofuje siê z ¿ycia towarzyskiego.

She showed no interest in earthborn matters. | Nie okazywa³a ¿adnego zainteresowania sprawami doczesnymi.

The so-called challenging question appeared a cakewalk at first, but now I'm at a loss to answer it. | Tak zwane ambitne pytanie z pocz±tku wyda³o siê bu³k± z mas³em, ale teraz nie wiem, jak na nie odpowiedzieæ.

The number of opportunivores is rapidly growing in big cities. | Liczba osób ¿ywi±cych siê pozostawionym przez innych jedzeniem agwa³townie wzrasta w du¿ych miastach.

Don't worry, Betty, a mancation will do him good. | Nie martw siê Betty, mêskie wakacje dobrze mu zrobi±.

That old man is a binner. | Ten starszy cz³owiek sprzedaje stare butelki.

Voluntourism is becoming popular with young people. | Podró¿owanie po³±czone z wolontariatem staje siê popularne w¶ród m³odych ludzi.

Do they really think they may tell those pliant people whatever they think is right? | Czy naprawdê uwa¿aj±, ¿e mog± tym uleg³ym ludziom powiedzieæ cokolwiek uznaj± za s³uszne?

Her fatherland was described as a priest-ridden country. | Jej ojczyznê opisano jako kraj opanowany przez kler.

In my opinion, such statements are a result of unrestrained priggery. | Moim zdaniem takie wypowiedzi wynikaj± z niepohamowanego zarozumialstwa.

The main character of the comic is a clumsy, trigger-happy cowboy. | G³ównym bohaterem komiksu jest niezdarny kowboj chêtnie siêgaj±cy po broñ.

I would never suspect her of such primness. | Nigdy nie podejrzewa³bym jej o tak± pruderyjno¶æ.

He made a fortune as a court-purveyor. | Zbi³ maj±tek jako nadworny dostawca.

In this research a clear division must be made between brand sluts and brand-loyal consumers. | W tym badaniu trzeba jasno oddzieliæ konsumentów nie bêd±cych wiernymi ¿adnej konkretnej marce od klientów lojalnych w stosunku do marki.

Since the situation appeared rather quiescent, the two parties decided to negotiate the conditions of the  agreement again. | Poniewa¿ sytuacja wydawa³a siê do¶æ spokojna, obie strony postanowi³y raz jeszcze negocjowaæ warunki porozumienia.

We waded through some quaggy area. | Brnêli¶my przez jaki¶ grz±ski teren.

The company's quinquennium will be celebrated at this hotel. | Piêciolecie firmy bêdziemy obchodziæ w tym hotelu.

He never felt quite comfortable among those dillies. | Nigdy nie czu³ siê dobrze w¶ród tych niezwyk³ych ludzi.

The effrontery of today's politicians is stupefying. | Arogancja dzisiejszych polityków jest zadziwiaj±ca.

As an expert in medieval battles, he knew everything about 13th century pencels and shields. | Jako ekspert w dziedzinie ¶redniowiecznych bitew  wiedzia³ wszystko o XIX-wiecznych tarczach i chor±gwiach.

He is now perceived as an albatross to the whole party. | Postrzega siê go teraz jako brzemiê dla ca³ej partii.

Richard, the pococurante professor, is a lecturer whom the students either loathe or admire. | Richard, nonszalancki profesor, jest wyk³adowc±, którego studenci albo nienawidz± albo podziwiaj±.

His punctilious language may appear clear and elegant, yet, in fact, the author doesn't say much. | Jego bardzo staranny jêzyk mo¿e siê wydaæ jasny i elegancki, ale w rzeczywisto¶ci autor nie ma zbyt wiele do powiedzenia.
